rank,make,model,year_range
1,Ford,Mustang,1964-present
2,Chevrolet,Corvette,1953-present
3,Porsche,911,1963-present
4,Toyota,Supra,1978-2002; 2019-present
5,Nissan,GT-R,2007-present
6,Chevrolet,Camaro,1966-2024
7,Dodge,Challenger,1970-1974; 2008-2023
8,Mazda,MX-5 Miata,1989-present
9,Dodge,Charger,1966-1978; 2006-present
10,Subaru,WRX / WRX STI,1992-present
11,Nissan,Z (350Z/370Z/Z),2002-present
12,BMW,M3,1986-present
13,Honda,Civic Type R,1997-present
14,Toyota,GR86 / Scion FR-S,2012-present
15,Volkswagen,Golf GTI,1976-present
16,Subaru,BRZ,2012-present
17,BMW,M4,2014-present
18,Porsche,718 Cayman / Boxster,1996-present
19,Mazda,RX-7,1978-2002
20,Nissan,Silvia / 240SX,1988-2002
21,Honda,S2000,1999-2009
22,Mitsubishi,Lancer Evolution,1992-2016
23,BMW,M2,2016-present
24,Toyota,GR Corolla,2022-present
25,Acura,NSX / Honda NSX,1990-2005; 2016-2022
26,Nissan,300ZX,1983-2000
27,Mazda,RX-8,2002-2012
28,Toyota,MR2,1984-2007
29,Ford,Focus RS,2002-2018
30,Volkswagen,Golf R,2010-present
31,Toyota,Celica,1970-2006
32,Pontiac,Firebird / Trans Am,1967-2002
33,Dodge,Viper,1991-2017
34,Nissan,240Z / Datsun 240Z,1969-1978
35,Mitsubishi,3000GT / GTO,1990-2001
36,BMW,Z4,2002-present
37,Audi,TT,1998-2023
38,Honda,Prelude,1978-2001; 2025-present
39,Hyundai,Genesis Coupe,2008-2016
40,Kia,Stinger,2017-2023
41,Ford,Focus ST,2012-present
42,Acura,Integra Type S / RSX,2001-2006; 2023-present
43,Hyundai,Veloster N,2019-2022
44,Toyota,GR Yaris,2020-present
45,Lotus,Emira / Elise,1996-present
46,Jaguar,F-Type,2013-2024
47,Alfa Romeo,Giulia Quadrifoglio,2016-present
48,Mini,Cooper JCW,2001-present
49,Chevrolet,SS / Pontiac GTO,2004-2006; 2014-2017
50,Mercedes-AMG,GT,2014-present
